Timestamp, TPHotspot, HMD_x, HMD_y, MHD_z, Duration, WasTP
5.305918, TP_Moda, 4.483, 0, 9.55, 0.2414432, False
10.56097, TP_MedioNull, 4.483, 0, 9.55, 0.0153141, False
13.69381, TP_MedioNull, 0.868767, 0.3810018, 6.357745, 1.060246, True
16.50255, TP_Tecnologia_2, -2.815553, 0.3809963, 0.9973499, 1.197452, True
20.24612, TP_Null, -1.899228, 0.3810024, -5.494007, 0.8626442, True
28.96027, TP_Null, 1.642344, 0.3809972, -3.603814, 1.224558, True
31.45141, TP_Alimentacion_2, 3.603801, 0.3810001, 0.1195127, 1.016354, True
32.49502, TP_Moda, 3.603801, 0.3810001, 0.1195127, 1.030525, False
35.07208, TP_Moda, 3.603801, 0.3810001, 0.1195127, 1.742252, False
35.50234, TP_Juguetes, 3.603801, 0.3810001, 0.1195127, 0.05540085, False
36.76863, TP_Juguetes, 5.138346, 0.3810039, 6.399356, 1.25201, True
39.23192, TP_Juguetes, 5.138346, 0.3810039, 6.399356, 0.4581337, False
49.24088, TP_MedioNull, 5.138346, 0.3810039, 6.399356, 1.308178, False
50.31271, TP_Decoracion, 5.138346, 0.3810039, 6.399356, 0.1664009, False
50.61927, TP_Decoracion, 5.138346, 0.3810039, 6.399356, 0.1673851, False
51.20354, TP_MedioNull, 5.138346, 0.3810039, 6.399356, 0.4454308, False
51.71836, TP_MedioNull, -0.3696198, 0.3810046, 5.421244, 0.4035759, True
53.36169, TP_Decoracion_3, -0.3696198, 0.3810046, 5.421244, 0.5280533, False
54.50339, TP_Decoracion, -3.353497, 0.381001, 5.493115, 2.770271, True
55.71352, TP_Decoracion, -3.353497, 0.381001, 5.493115, 0.4033241, False
56.29826, TP_Decoracion_3, -3.353497, 0.381001, 5.493115, 0.1092644, False
56.50731, TP_Decoracion_3, -3.353497, 0.381001, 5.493115, 0.08366394, False
57.78783, TP_Decoracion, -3.888775, 0.3810018, 5.259416, 1.489563, True
68.29755, TP_Decoracion, -3.888775, 0.3810018, 5.259416, 2.227333, False
74.99406, TP_Decoracion_3, -3.888775, 0.3810018, 5.259416, 2.200142, False
75.62218, TP_Decoracion, -3.888775, 0.3810018, 5.259416, 0.308548, False
77.62643, TP_MedioNull, -0.5131701, 0.3810042, 5.396144, 0.8235016, True
81.00777, TP_Moda, 4.953015, 0.3810025, 2.303631, 2.506012, True
84.57043, TP_Moda, 6.008429, 0.3810017, 2.492803, 2.281113, True
85.82265, TP_Moda, 6.008429, 0.3810017, 2.492803, 0.1119003, False
103.2916, TP_Tecnologia, 0.00632745, 0.3809983, 0.7592276, 2.491158, True
105.8257, TP_Tecnologia_2, 0.00632745, 0.3809983, 0.7592276, 0.8909073, False
106.4939, TP_Tecnologia_2, 0.00632745, 0.3809983, 0.7592276, 0.04182434, False
108.3586, TP_Tecnologia_2, -2.401983, 0.3809961, 0.9540322, 0.904335, True
108.916, TP_Decoracion_2, -2.401983, 0.3809961, 0.9540322, 0.5438766, False
109.9462, TP_Tecnologia_2, -2.401983, 0.3809961, 0.9540322, 0.7657394, False
122.2816, TP_Tecnologia_2, -2.401983, 0.3809961, 0.9540322, 0.07197571, False
122.3348, TP_Tecnologia_2, -2.401983, 0.3809961, 0.9540322, 0.04149628, False
123.1976, TP_Tecnologia_2, -2.799384, 0.3810032, -1.303202, 0.5979691, True
123.4207, TP_Null, -2.799384, 0.3810032, -1.303202, 0.2080688, False
125.2023, TP_Tecnologia, -1.488844, 0.3810029, -0.9816184, 0.9029922, True
126.5935, TP_Tecnologia_2, -1.488844, 0.3810029, -0.9816184, 0.4712067, False
