Timestamp, TPHotspot, HMD_x, HMD_y, MHD_z, Duration, WasTP
12.19847, TP_Juguetes, 4.483, 0, 9.55, 6.050575, False
13.66126, TP_Juguetes, 4.168491, 0.381001, 7.33124, 1.351563, True
14.64971, TP_Moda, 4.168491, 0.381001, 7.33124, 0.8086205, False
16.15286, TP_Moda, 4.168491, 0.381001, 7.33124, 0.8634424, False
16.91878, TP_Juguetes, 4.168491, 0.381001, 7.33124, 0.681078, False
17.12728, TP_Moda, 4.168491, 0.381001, 7.33124, 0.01430511, False
17.18295, TP_Moda, 4.168491, 0.381001, 7.33124, 0.01402283, False
17.29439, TP_Moda, 4.168491, 0.381001, 7.33124, 0.06950569, False
18.65846, TP_Moda, 3.802409, 0.3809989, 3.592359, 1.113117, True
18.6723, TP_Juguetes, 3.802409, 0.3809989, 3.592359, 0.3060493, False
19.03471, TP_Alimentacion_2, 3.802409, 0.3809989, 3.592359, 0.362402, False
19.39653, TP_Moda, 3.802409, 0.3809989, 3.592359, 0.7242279, False
20.07931, TP_Moda, 3.802409, 0.3809989, 3.592359, 0.237009, False
20.78851, TP_Moda, 3.802409, 0.3809989, 3.592359, 0.4990425, False
23.43473, TP_Moda, 3.802409, 0.3809989, 3.592359, 2.353476, False
24.42198, TP_Alimentacion_2, 3.802409, 0.3809989, 3.592359, 0.6673756, False
24.64506, TP_Alimentacion, 3.802409, 0.3809989, 3.592359, 0.1796932, False
24.72832, TP_Alimentacion_2, 3.802409, 0.3809989, 3.592359, 0.08325195, False
24.88227, TP_Alimentacion, 3.802409, 0.3809989, 3.592359, 0.1539497, False
24.97981, TP_Alimentacion_2, 3.802409, 0.3809989, 3.592359, 0.09754753, False
25.04864, TP_Alimentacion, 3.802409, 0.3809989, 3.592359, 0.06882286, False
26.35794, TP_Alimentacion_2, 3.383579, 0.3809999, 0.02999377, 1.309305, True
26.46889, TP_Null, 3.383579, 0.3809999, 0.02999377, 0.0962429, False
26.90042, TP_Alimentacion_3, 3.383579, 0.3809999, 0.02999377, 0.09707451, False
28.19538, TP_Null, 2.579444, 0.3809967, -3.631941, 1.141779, True
30.54818, TP_Null, 2.579444, 0.3809967, -3.631941, 1.280485, False
30.66041, TP_Null, 2.579444, 0.3809967, -3.631941, 0.08377457, False
31.82859, TP_Null, 2.358195, 0.3810029, -5.712461, 0.7095013, True
43.49548, TP_Alimentacion_3, 2.358195, 0.3810029, -5.712461, 0.192524, False
45.40254, TP_Alimentacion_3, 2.348024, 0.3810023, -2.225363, 1.015945, True
45.79205, TP_Alimentacion, 2.348024, 0.3810023, -2.225363, 0.1943359, False
45.83424, TP_Alimentacion_2, 2.348024, 0.3810023, -2.225363, 0.01361465, False
48.24311, TP_Alimentacion_2, 3.734055, 0.3809996, 0.1146047, 2.393955, True
49.3569, TP_Moda, 3.734055, 0.3809996, 0.1146047, 1.099648, False
51.45952, TP_Moda, 4.605362, 0.3809952, 4.822103, 1.559338, True
54.50917, TP_Juguetes, 5.125644, 0.3809991, 7.931429, 2.951954, True
81.2113, TP_MedioNull, 5.125644, 0.3809991, 7.931429, 0.01460266, False
81.48833, TP_MedioNull, 5.125644, 0.3809991, 7.931429, 0.2361832, False
82.1281, TP_MedioNull, 5.125644, 0.3809991, 7.931429, 0.1102066, False
87.7421, TP_MedioNull, 0.6317545, 0.3810031, 6.027152, 0.991333, True
89.06268, TP_Decoracion_3, -3.757586, 0.3810002, 4.140912, 1.308815, True
96.02386, TP_Decoracion, -3.87111, 0.3810025, 4.702386, 1.350807, True
97.33223, TP_Decoracion, -3.87111, 0.3810025, 4.702386, 0.2787781, False
134.7684, TP_Tecnologia, -3.87111, 0.3810025, 4.702386, 0.02635193, False
135.3398, TP_Alimentacion, -3.87111, 0.3810025, 4.702386, 0.5713959, False
136.6212, TP_Tecnologia, -3.87111, 0.3810025, 4.702386, 0.473938, False
136.7337, TP_Tecnologia, -3.87111, 0.3810025, 4.702386, 0.085495, False
137.9577, TP_Tecnologia, -0.3945398, 0.3809985, 0.4656396, 0.71138, True
138.4475, TP_Null, -0.3945398, 0.3809985, 0.4656396, 0.4737396, False
138.6109, TP_Alimentacion_3, -0.3945398, 0.3809985, 0.4656396, 0.06919861, False
141.8134, TP_Alimentacion_3, -0.3945398, 0.3809985, 0.4656396, 1.240234, False
142.5673, TP_Alimentacion, -0.3945398, 0.3809985, 0.4656396, 0.7539215, False
148.4545, TP_Moda, 4.23635, 0.3810036, 2.068006, 0.9851837, True
151.4907, TP_Moda, 5.923634, 0.3810019, 2.639541, 2.172058, True
154.7487, TP_Moda, 6.31007, 0.3810054, 1.378921, 0.6698151, True
191.3622, TP_Moda, 5.300564, 0.3809975, 3.966262, 0.7660217, True
191.8634, TP_Juguetes, 5.300564, 0.3809975, 3.966262, 0.4322357, False
193.1716, TP_Moda, 5.300564, 0.3809975, 3.966262, 0.7095947, False
194.8147, TP_Moda, 5.300564, 0.3809975, 3.966262, 0.4315948, False
195.1348, TP_Moda, 5.561731, 0.3809946, 4.836168, 0.1802368, True
195.5948, TP_Juguetes, 5.561731, 0.3809946, 4.836168, 0.4441986, False
