Timestamp, Object, Interactable, Position_x, Position_y, Position_y, Rotation_x, Rotation_x, Rotation_x, Scale_x, Scale_y, Scale_z
46.85153, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.546509, 1.603699, 6.660149, 0.1846527, -0.1061452, -0.09001511, 1, 1, 1
46.869, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.547686, 1.613405, 6.663176, 0.1688536, -0.1066105, -0.05990816, 1, 1, 1
46.87805, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.54908, 1.619749, 6.661058, 0.1695704, -0.09801315, -0.05309217, 1, 1, 1
46.88975, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.549334, 1.615386, 6.660681, 0.1694626, -0.09530365, -0.04455965, 1, 1, 1
46.90387, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.549218, 1.615445, 6.660655, 0.1661448, -0.09331412, -0.03618257, 1, 1, 1
46.91772, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.548989, 1.630477, 6.660525, 0.1616721, -0.09107643, -0.02996769, 1, 1, 1
46.93096, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.548588, 1.618454, 6.660809, 0.1660201, -0.09019857, -0.01438252, 1, 1, 1
46.94498, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.548059, 1.618327, 6.661038, 0.1660254, -0.08898281, -0.001559272, 1, 1, 1
46.9604, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.54609, 1.617218, 6.662852, 0.1575366, -0.09309456, -0.001055163, 1, 1, 1
46.97309, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.544661, 1.644136, 6.664012, 0.1492664, -0.09454629, 0.002027213, 1, 1, 1
46.98586, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.542655, 1.618771, 6.666134, 0.1508635, -0.09878466, 0.008868514, 1, 1, 1
47.00029, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.541018, 1.61762, 6.667745, 0.1495285, -0.1010344, 0.01566377, 1, 1, 1
47.01444, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.539599, 1.652153, 6.668949, 0.1460495, -0.1016286, 0.02229534, 1, 1, 1
47.03613, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.538035, 1.620151, 6.670593, 0.1445415, -0.1045916, 0.02998454, 1, 1, 1
47.04176, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.535215, 1.616658, 6.673246, 0.1423211, -0.111765, 0.03021166, 1, 1, 1
47.0557, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.533041, 1.657311, 6.675109, 0.1385007, -0.1157126, 0.03231644, 1, 1, 1
47.06958, balon, balon (Oculus.Interaction.HandGrab.HandGrabInteractable), 5.53095, 1.616084, 6.677228, 0.1369002, -0.121235, 0.03654912, 1, 1, 1
