Timestamp, TPHotspot, HMD_x, HMD_y, MHD_z, Duration, WasTP
11.83537, TP_Moda, 4.483, 0, 9.55, 1.149701, False
13.2822, TP_Moda, 4.483, 0, 9.55, 1.350579, False
13.73787, TP_Juguetes, 4.444012, 0.3810055, 5.857939, 0.219224, True
13.80206, TP_Moda, 4.444012, 0.3810055, 5.857939, 0.05427361, False
14.9106, TP_Moda, 4.444012, 0.3810055, 5.857939, 0.6958857, False
15.05379, TP_Moda, 4.444012, 0.3810055, 5.857939, 0.08816719, False
15.09072, TP_Moda, 4.444012, 0.3810055, 5.857939, 0.01243973, False
15.62463, TP_Moda, 4.054639, 0.3810018, 2.727478, 0.4904337, True
16.44182, TP_Alimentacion_2, 4.054639, 0.3810018, 2.727478, 0.8024559, False
18.02991, TP_Alimentacion_2, 3.687159, 0.3810016, -0.4680889, 1.101139, True
20.37375, TP_Null, 3.687159, 0.3810016, -0.4680889, 2.326601, False
20.54899, TP_Null, 3.687159, 0.3810016, -0.4680889, 0.02729607, False
20.91252, TP_Null, 2.545365, 0.381003, -5.727412, 0.3221874, True
26.66372, TP_Null, 2.545365, 0.381003, -5.727412, 1.937473, False
28.08034, TP_Alimentacion_3, 2.545365, 0.381003, -5.727412, 0.1957474, False
30.28034, TP_Alimentacion_2, 3.498592, 0.3810004, 0.05880144, 2.200005, True
30.41834, TP_Juguetes, 3.498592, 0.3810004, 0.05880144, 0.04180717, False
32.75695, TP_Moda, 4.401436, 0.3809978, 4.125842, 2.143648, True
34.48761, TP_Juguetes, 5.022392, 0.3810031, 6.737166, 1.712288, True
52.87037, TP_MedioNull, 0.3172354, 0.381005, 5.314802, 1.015522, True
53.2185, TP_Decoracion_3, 0.3172354, 0.381005, 5.314802, 0.3293419, False
53.28896, TP_Decoracion, 0.3172354, 0.381005, 5.314802, 0.02846909, False
53.85037, TP_Decoracion, 0.3172354, 0.381005, 5.314802, 0.01908875, False
54.62457, TP_Decoracion_3, 0.3172354, 0.381005, 5.314802, 0.3059959, False
57.18773, TP_Decoracion_3, 0.3172354, 0.381005, 5.314802, 0.8648453, False
60.06697, TP_Decoracion_3, 0.3172354, 0.381005, 5.314802, 0.1105309, False
61.36551, TP_Decoracion_2, 0.3172354, 0.381005, 5.314802, 0.5996513, False
61.90462, TP_Decoracion_3, 0.3172354, 0.381005, 5.314802, 0.5391197, False
62.74068, TP_Decoracion, 0.3172354, 0.381005, 5.314802, 0.8360519, False
63.19983, TP_Decoracion_3, 0.3172354, 0.381005, 5.314802, 0.459156, False
65.06695, TP_Decoracion_2, -4.841174, 0.3809994, 2.441542, 1.575378, True
88.18613, TP_Tecnologia, -4.841174, 0.3809994, 2.441542, 0.5569534, False
88.78505, TP_Tecnologia, -1.049804, 0.3809961, 1.3376, 0.02766418, True
89.50914, TP_Alimentacion_2, -1.049804, 0.3809961, 1.3376, 0.7051849, False
90.80353, TP_Alimentacion, -1.049804, 0.3809961, 1.3376, 1.294388, False
93.21132, TP_Moda, -1.049804, 0.3809961, 1.3376, 0.05539703, False
94.20002, TP_Moda, -1.049804, 0.3809961, 1.3376, 0.2924118, False
95.10888, TP_Moda, -1.049804, 0.3809961, 1.3376, 0.128952, False
96.70539, TP_Moda, 4.68664, 0.3810032, 2.317106, 0.9879456, True
99.9772, TP_Moda, 6.146844, 0.3810028, 2.470728, 2.502556, True
113.2013, TP_Alimentacion_2, 6.146844, 0.3810028, 2.470728, 0.01060486, False
113.5752, TP_Alimentacion, 6.146844, 0.3810028, 2.470728, 0.3739548, False
113.8671, TP_Tecnologia, 6.146844, 0.3810028, 2.470728, 0.2918854, False
115.4287, TP_Tecnologia, -0.5888363, 0.3809964, 1.173471, 1.366371, True
117.0712, TP_Tecnologia_2, -0.5888363, 0.3809964, 1.173471, 0.152832, False
118.0298, TP_Tecnologia, -0.6324816, 0.3809987, 0.4351783, 0.941185, True
