Timestamp, Object Name, Section, Collision Duration, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z
0.2467486, seta, MostradorUnico, 0.1832751, -0.05032372, 1.650681, -0.002914727, 0.03210322, 0.8971823, -0.4401573, 0.01453829, 1.654446, -0.0009763837, 0.03272852, 0.8959774, -0.4426964
0.6275216, seta, MostradorUnico, 0.01385868, -0.05737019, 1.665199, 0.03584331, 0.007480334, 0.9305127, -0.3465741, 0.007256031, 1.668595, 0.02976286, 0.007896448, 0.9327064, -0.3493114
0.9469562, seta, MostradorUnico, 0.1940506, -0.08395123, 1.681123, -0.01633912, -0.01292585, 0.9759661, -0.1964345, -0.01895595, 1.680457, -0.01678628, -0.01501903, 0.9734035, -0.1947351
2.129778, pulpo, MostradorUnico, 0.5828059, -0.03729463, 1.696993, -0.07961762, 0.05412653, 0.9181477, -0.07551233, 0.02408743, 1.701444, -0.05870283, 0.05532908, 0.9074036, -0.07688095
2.310409, quemador, MostradorUnico, 0.08294892, -0.01596236, 1.70697, -0.1017137, 0.1148387, 0.7314131, -0.07593373, 0.03408384, 1.715167, -0.06105399, 0.1175612, 0.712936, -0.07801954
4.011144, quemador, MostradorUnico, 0.0421319, -0.2607477, 1.702222, 0.09744766, 0.08965782, 0.9405822, -0.126464, -0.203485, 1.708719, 0.12751, 0.0921564, 0.9317154, -0.1316075
4.386765, pulpo, MostradorUnico, 0.2774467, -0.1777511, 1.692216, 0.05451488, 0.02396703, 0.9846823, -0.07556055, -0.1133049, 1.696306, 0.04710168, 0.02441943, 0.9882891, -0.07847884
4.484306, zapatillas, MostradorUnico, 0.05660057, -0.1673012, 1.692279, 0.0722414, 0.01187163, 0.8785651, -0.05914786, -0.1048472, 1.695603, 0.05453688, 0.01111297, 0.8896591, -0.06238931
5.52884, quemador, MostradorUnico, 0.04213095, 0.07164598, 1.697415, -0.1103641, 0.1040602, 0.7096505, -0.06649242, 0.1235433, 1.7084, -0.07280141, 0.1063537, 0.6920653, -0.07047454
8.869088, quemador, MostradorUnico, 0.3203268, -0.07897019, 1.6642, 0.03429347, 0.01154821, 0.9301383, -0.3668465, -0.01401949, 1.666103, 0.03262311, 0.01414383, 0.9297624, -0.3674197
8.883404, seta, MostradorUnico, 0.05571747, -0.07394052, 1.664314, 0.03404403, 0.007118197, 0.9289361, -0.3691456, -0.009023905, 1.666144, 0.03129721, 0.009712223, 0.9290649, -0.3697801
8.910545, quemador, MostradorUnico, 0.02714157, -0.06093144, 1.666161, 0.02719903, -0.0003758709, 0.9247222, -0.3754176, 0.003891945, 1.667929, 0.02274853, 0.002316271, 0.9258397, -0.3765028
8.952646, seta, MostradorUnico, 0.04210091, -0.04606557, 1.662214, 0.01817256, -0.0100409, 0.9152708, -0.3898906, 0.01856899, 1.663992, 0.01152462, -0.00728487, 0.9175199, -0.3913581
12.7831, quemador, MostradorUnico, 0.0711298, 0.1297383, 1.648696, 0.04286224, -0.02402301, 0.8830213, -0.4685842, 0.193315, 1.652377, 0.0298416, -0.0225875, 0.885587, -0.4636219
