Timestamp, TPHotspot, HMD_x, HMD_y, MHD_z, Duration, WasTP
8.998141, TP_Juguetes, 4.483, 0, 9.55, 0.1066227, False
9.608103, TP_Juguetes, 4.483, 0, 9.55, 0.1664371, False
11.64125, TP_Juguetes, 4.483, 0, 9.55, 1.391252, False
12.62921, TP_Moda, 4.483, 0, 9.55, 0.8057785, False
12.81491, TP_Moda, 3.558882, 0.3809946, 5.14357, 0.03182507, True
13.40927, TP_Alimentacion_2, 3.558882, 0.3809946, 5.14357, 0.5835562, False
14.02236, TP_Moda, 3.558882, 0.3809946, 5.14357, 0.1532764, False
14.98331, TP_Alimentacion_2, 3.558882, 0.3809946, 5.14357, 0.9193115, False
16.30739, TP_Alimentacion_2, 3.558882, 0.3809946, 5.14357, 0.5858841, False
17.795, TP_Alimentacion_2, 3.726707, 0.3809988, 0.4856483, 0.8349724, True
18.35248, TP_Null, 3.726707, 0.3809988, 0.4856483, 0.5411301, False
18.75616, TP_Alimentacion_3, 3.726707, 0.3809988, 0.4856483, 0.3326092, False
18.95019, TP_Null, 3.726707, 0.3809988, 0.4856483, 0.01368141, False
19.30006, TP_Alimentacion_3, 3.726707, 0.3809988, 0.4856483, 0.08330536, False
21.99993, TP_Null, 2.346536, 0.3810039, -5.958254, 2.199503, True
26.28821, TP_Null, 3.254406, 0.3809991, -4.322001, 1.725864, True
28.30783, TP_Alimentacion_3, 3.254406, 0.3809991, -4.322001, 0.3065681, False
28.446, TP_Alimentacion_2, 3.254406, 0.3809991, -4.322001, 0.0147934, False
28.98816, TP_Alimentacion_2, 3.254406, 0.3809991, -4.322001, 0.2366028, False
30.11661, TP_Alimentacion_2, 3.280951, 0.3810008, -0.1289471, 1.002474, True
30.89588, TP_Moda, 3.280951, 0.3810008, -0.1289471, 0.2364159, False
33.65173, TP_Moda, 4.569042, 0.3809981, 4.0183, 1.961874, True
34.80809, TP_Moda, 4.569042, 0.3809981, 4.0183, 0.3204308, False
36.11685, TP_Juguetes, 4.723622, 0.3810034, 6.636331, 2.450302, True
50.56799, TP_Decoracion, 4.946439, 0.3810009, 7.279181, 0.4034424, False
52.85059, TP_Decoracion, 4.946439, 0.3810009, 7.279181, 1.071442, False
53.76878, TP_MedioNull, 4.946439, 0.3810009, 7.279181, 0.1087036, False
54.13124, TP_MedioNull, 4.946439, 0.3810009, 7.279181, 0.1663895, False
55.23143, TP_Decoracion, -2.411416, 0.3810043, 4.342251, 0.8069191, True
58.46207, TP_Decoracion_2, -4.898205, 0.3810003, 2.155173, 2.910477, True
81.33667, TP_Tecnologia, -4.898205, 0.3810003, 2.155173, 0.09675598, False
82.74249, TP_Tecnologia, -0.4096198, 0.3809966, 1.124371, 0.264328, True
83.13197, TP_Alimentacion_2, -0.4096198, 0.3809966, 1.124371, 0.2635803, False
83.5369, TP_Alimentacion_2, -0.4096198, 0.3809966, 1.124371, 0.3767242, False
84.13449, TP_Alimentacion, -0.4096198, 0.3809966, 1.124371, 0.5975952, False
87.12681, TP_Moda, 4.831263, 0.3810035, 2.257214, 1.363167, True
92.40372, TP_Moda, 5.937236, 0.3810038, 2.161075, 2.853882, True
125.2317, TP_Juguetes, 5.937236, 0.3810038, 2.161075, 0.2771072, False
127.1949, TP_Alimentacion, 5.937236, 0.3810038, 2.161075, 0.06917572, False
128.7965, TP_Alimentacion, 1.82089, 0.3809964, 1.333742, 0.7103729, True
129.146, TP_Tecnologia_2, 1.82089, 0.3809964, 1.333742, 0.3357849, False
129.5499, TP_Tecnologia, 1.82089, 0.3809964, 1.333742, 0.4039764, False
129.7431, TP_Alimentacion, 1.82089, 0.3809964, 1.333742, 0.1931915, False
131.0794, TP_Alimentacion_3, 1.82089, 0.3809964, 1.333742, 1.336243, False
