Timestamp, TPHotspot, HMD_x, HMD_y, MHD_z, Duration, WasTP
25.0669, TP_Moda, 4.483, 0, 9.55, 0.3535404, False
28.18387, TP_Juguetes, 4.483, 0, 9.55, 0.1535645, False
29.9814, TP_Moda, 4.333975, 0.3809953, 4.872563, 1.045362, True
30.00796, TP_Alimentacion_2, 4.333975, 0.3809953, 4.872563, 0.01206779, False
30.62272, TP_Alimentacion_2, 4.333975, 0.3809953, 4.872563, 0.4335842, False
30.99711, TP_Moda, 4.333975, 0.3809953, 4.872563, 0.3483486, False
32.40287, TP_Alimentacion_2, 4.333975, 0.3809953, 4.872563, 1.321743, False
32.6815, TP_Alimentacion_2, 3.837156, 0.3809974, 0.9076845, 0.06994247, True
33.50371, TP_Alimentacion_3, 3.837156, 0.3809974, 0.9076845, 0.2366714, False
36.82984, TP_Null, 3.837156, 0.3809974, 0.9076845, 0.779068, False
37.20819, TP_Null, 5.077703, 0.3809966, -3.562796, 0.3365135, True
39.96295, TP_Null, 5.077703, 0.3809966, -3.562796, 2.157188, False
40.74318, TP_Null, 5.077703, 0.3809966, -3.562796, 0.4461136, False
44.40446, TP_Null, 5.077703, 0.3809966, -3.562796, 1.405888, False
45.49011, TP_Null, 3.005963, 0.3810039, -6.031607, 0.7510681, True
54.63642, TP_Null, 3.005963, 0.3810039, -6.031607, 0.2230492, False
55.02612, TP_Alimentacion_3, 3.005963, 0.3810039, -6.031607, 0.1955681, False
56.05684, TP_Alimentacion_2, 3.005963, 0.3810039, -6.031607, 0.2786369, False
56.93375, TP_Alimentacion_3, 3.005963, 0.3810039, -6.031607, 0.7659531, False
57.79738, TP_Null, 3.083453, 0.3809964, -3.490562, 0.627449, True
58.61852, TP_Alimentacion_3, 3.083453, 0.3809964, -3.490562, 0.8080559, False
60.79002, TP_Alimentacion_2, 3.618098, 0.3810028, -0.8787669, 2.171505, True
63.28205, TP_Moda, 4.174779, 0.3810037, 2.026521, 2.477333, True
67.04387, TP_Juguetes, 4.698855, 0.3810048, 6.050508, 1.811951, True
69.61759, TP_Juguetes, 5.265817, 0.3809997, 7.771361, 2.102417, True
70.24405, TP_Juguetes, 5.265817, 0.3809997, 7.771361, 0.06929779, False
77.56623, TP_Juguetes, 5.265817, 0.3809997, 7.771361, 0.4580917, False
81.79862, TP_Juguetes, 5.265817, 0.3809997, 7.771361, 2.045418, False
85.48754, TP_Juguetes, 5.265817, 0.3809997, 7.771361, 1.224808, False
95.17789, TP_MedioNull, 5.265817, 0.3809997, 7.771361, 0.6666641, False
97.3775, TP_MedioNull, 5.265817, 0.3809997, 7.771361, 0.1668701, False
100.3987, TP_MedioNull, 5.265817, 0.3809997, 7.771361, 2.478287, False
102.153, TP_MedioNull, 5.265817, 0.3809997, 7.771361, 0.7799835, False
103.6425, TP_MedioNull, 5.265817, 0.3809997, 7.771361, 0.5709, False
104.8252, TP_MedioNull, 5.265817, 0.3809997, 7.771361, 0.6255417, False
106.0781, TP_MedioNull, 1.415722, 0.3810022, 6.173839, 0.723877, True
116.1587, TP_Decoracion, -2.685317, 0.3810009, 5.2479, 10.06712, True
122.076, TP_Decoracion, -4.18326, 0.3810017, 5.169385, 4.302353, True
125.1106, TP_Decoracion, -4.18326, 0.3810017, 5.169385, 0.2083054, False
126.6842, TP_Decoracion, -5.317091, 0.3810019, 4.936688, 1.2117, True
148.4051, TP_Decoracion, -5.317091, 0.3810019, 4.936688, 0.04138184, False
148.8341, TP_MedioNull, -5.317091, 0.3810019, 4.936688, 0.2497711, False
150.3095, TP_Decoracion, -2.277874, 0.381, 5.580336, 1.336502, True
153.5819, TP_MedioNull, 0.4369673, 0.3810042, 5.41641, 3.257111, True
158.0533, TP_Moda, 0.4369673, 0.3810042, 5.41641, 0.7674255, False
161.9626, TP_Moda, 4.038108, 0.3809993, 3.34737, 3.466568, True
168.4929, TP_Moda, 5.77342, 0.3810001, 3.088546, 5.862122, True
191.3093, TP_Alimentacion_2, 3.297813, 0.380998, 0.7869796, 1.862823, True
192.6185, TP_Alimentacion, 3.297813, 0.380998, 0.7869796, 0.6404724, False
197.0184, TP_Alimentacion_3, 3.039813, 0.3809993, -0.9634864, 0.9748383, True
198.1196, TP_Alimentacion_3, 3.039813, 0.3809993, -0.9634864, 0.7253265, False
198.2035, TP_Alimentacion, 3.039813, 0.3809993, -0.9634864, 0.08389282, False
