Timestamp, Object Name, Section, Collision Duration, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z
43.68857, TAKIS, Alimentacion, 0.04224777, 0.1312428, 1.685444, 0.1046269, -0.04826467, 0.9597713, -0.02778817, 0.06843662, 1.688942, 0.1210053, -0.04557837, 0.9669992, -0.02906547
55.30186, balon, Juguetes, 0.03073883, 0.3337421, 1.662264, 0.1211538, -0.04988004, 0.9573286, -0.1820131, 0.2756872, 1.672672, 0.09383726, -0.02898491, 0.9505868, -0.1864066
55.46843, balon, Juguetes, 0.142067, 0.2472339, 1.643986, 0.1047115, -0.0858242, 0.9770912, -0.1656462, 0.1856236, 1.653148, 0.08613157, -0.06584042, 0.9742801, -0.171089
56.88745, octopus_teddy, Juguetes, 0.01480103, -0.05866623, 1.679121, -0.006212711, 0.1850811, 0.4860657, -0.1700447, -0.03809452, 1.687347, 0.05489492, 0.1884991, 0.4633509, -0.1726666
58.2921, octopus_teddy, Juguetes, 0.04174042, 0.2870979, 1.68349, -0.02417994, 0.1621423, 0.2686163, -0.1060072, 0.3085442, 1.695513, 0.03599024, 0.1643443, 0.2427985, -0.1072158
59.25338, octopus_teddy, Juguetes, 0.04196548, -0.1222095, 1.681553, 0.2957582, 0.2760028, 0.4160511, -0.1938588, -0.0997901, 1.688669, 0.3563523, 0.2814494, 0.3890056, -0.1918782
59.82644, balon, Juguetes, 0.01659393, -0.06306505, 1.676194, 0.2052679, 0.09738837, 0.9611837, -0.1580087, -0.003252029, 1.68487, 0.2291875, 0.09814974, 0.9545126, -0.1642769
63.06734, letrero_moda, ==LETREROS==, 0.1669083, 0.3003025, 1.680062, 0.2274637, 0.06817038, 0.9844893, 0.1279674, 0.3630242, 1.687135, 0.211937, 0.06573593, 0.9876171, 0.1224107
67.27325, baby_yoda, SHOPPING_CART_BEHAVIOUR, 0.1401138, 0.2810698, 1.613782, 0.3128228, 0.2587855, -0.513857, 0.6312218, 0.3335354, 1.619352, 0.2748585, 0.2498545, -0.5398045, 0.6493589
67.73102, baby_yoda, SHOPPING_CART_BEHAVIOUR, 0.22229, 0.2972125, 1.645687, 0.2710714, 0.1763246, -0.4667786, 0.4023201, 0.3400201, 1.652589, 0.2226477, 0.1812353, -0.4885714, 0.4149119
